[2024-08-07T04:12:25.240+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-07T04:12:25.289+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: AMD.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:12:25.303+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: AMD.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:12:25.304+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-07T04:12:25.326+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-07T04:12:25.340+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=538) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-07T04:12:25.339+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'AMD', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '83', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmppw5tn05_']
[2024-08-07T04:12:25.342+0000] {standard_task_runner.py:64} INFO - Started process 540 to run task
[2024-08-07T04:12:25.343+0000] {standard_task_runner.py:91} INFO - Job 83: Subtask send_data
[2024-08-07T04:12:25.365+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-07T04:12:25.418+0000] {task_command.py:426} INFO - Running <TaskInstance: AMD.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 8b57410c2c11
[2024-08-07T04:12:25.563+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='AMD' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-07T04:12:25.565+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-07T04:12:27.612+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.613+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.614+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.614+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.615+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.616+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.616+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.617+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.617+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.618+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.618+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.619+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.619+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
[2024-08-07T04:12:27.620+0000] {logging_mixin.py:188} INFO - Delivered message to AMD [0]
