[2024-08-07T04:23:51.162+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-07T04:23:51.212+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: AMZN.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:23:51.224+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: AMZN.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:23:51.225+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-07T04:23:51.249+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-07T04:23:51.261+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=871) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-07T04:23:51.264+0000] {standard_task_runner.py:64} INFO - Started process 873 to run task
[2024-08-07T04:23:51.260+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'AMZN', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '92', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmpj4g1awn1']
[2024-08-07T04:23:51.265+0000] {standard_task_runner.py:91} INFO - Job 92: Subtask send_data
[2024-08-07T04:23:51.285+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-07T04:23:51.339+0000] {task_command.py:426} INFO - Running <TaskInstance: AMZN.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 8b57410c2c11
[2024-08-07T04:23:51.471+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='AMZN' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-07T04:23:51.473+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-07T04:23:53.500+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.501+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.502+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.503+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.503+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.504+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.504+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.505+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.505+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.506+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.506+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.507+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.507+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.508+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.508+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.509+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.509+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.510+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.511+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.511+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.512+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.512+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.513+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.513+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.514+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.514+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.514+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.515+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.515+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.516+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.516+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.516+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.517+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.517+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.518+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.518+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.518+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.519+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.519+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.519+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.520+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.520+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.521+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.521+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.522+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.522+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.523+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.524+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.524+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.525+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.525+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.525+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.526+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.526+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.527+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.527+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.528+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.528+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.529+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.529+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.530+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.530+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.530+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.531+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.531+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.532+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.532+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.533+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.533+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.534+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.534+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.535+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.535+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.535+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.536+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.537+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.537+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.538+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.538+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.539+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.540+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.540+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.540+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.541+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.541+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.542+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.542+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.543+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.543+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.544+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.544+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.544+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.545+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.545+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.546+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.546+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.546+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.547+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.547+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.548+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.548+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.549+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.549+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.549+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.550+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.550+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.550+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.551+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.551+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.552+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.552+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.553+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.553+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.554+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.554+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.555+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.556+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.556+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.557+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.557+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.558+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.558+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.559+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.559+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.560+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.560+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.560+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.561+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.561+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.562+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.562+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.563+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.563+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.564+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
[2024-08-07T04:23:53.564+0000] {logging_mixin.py:188} INFO - Delivered message to AMZN [0]
