[2024-08-07T04:05:20.983+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-07T04:05:21.036+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: APPL.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:05:21.049+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: APPL.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:05:21.050+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-07T04:05:21.075+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-07T04:05:21.087+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=325) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-07T04:05:21.086+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'APPL', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '77', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmpievev59e']
[2024-08-07T04:05:21.089+0000] {standard_task_runner.py:64} INFO - Started process 327 to run task
[2024-08-07T04:05:21.089+0000] {standard_task_runner.py:91} INFO - Job 77: Subtask send_data
[2024-08-07T04:05:21.110+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-07T04:05:21.159+0000] {task_command.py:426} INFO - Running <TaskInstance: APPL.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 8b57410c2c11
[2024-08-07T04:05:21.290+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='APPL' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-07T04:05:21.291+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-07T04:05:23.319+0000] {logging_mixin.py:188} INFO - Delivered message to AAPL [0]
[2024-08-07T04:05:23.320+0000] {logging_mixin.py:188} INFO - Delivered message to AAPL [0]
