[2024-08-07T04:30:51.904+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-07T04:30:51.953+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: INTC_streaming_data.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:30:51.967+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: INTC_streaming_data.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:30:51.968+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-07T04:30:51.992+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-07T04:30:52.004+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1110) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-07T04:30:52.004+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'INTC_streaming_data', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '101', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmpubyz9j79']
[2024-08-07T04:30:52.006+0000] {standard_task_runner.py:64} INFO - Started process 1112 to run task
[2024-08-07T04:30:52.006+0000] {standard_task_runner.py:91} INFO - Job 101: Subtask send_data
[2024-08-07T04:30:52.027+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-07T04:30:52.078+0000] {task_command.py:426} INFO - Running <TaskInstance: INTC_streaming_data.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 8b57410c2c11
[2024-08-07T04:30:52.217+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='INTC_streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-07T04:30:52.219+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-07T04:30:54.247+0000] {logging_mixin.py:188} INFO - Delivered message to INTC [0]
