[2024-08-07T04:32:25.942+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-07T04:32:25.991+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: META_streaming.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:32:26.004+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: META_streaming.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:32:26.005+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-07T04:32:26.038+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-07T04:32:26.048+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1172) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-07T04:32:26.049+0000] {standard_task_runner.py:64} INFO - Started process 1174 to run task
[2024-08-07T04:32:26.048+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'META_streaming', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '104', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmp6thby673']
[2024-08-07T04:32:26.051+0000] {standard_task_runner.py:91} INFO - Job 104: Subtask send_data
[2024-08-07T04:32:26.075+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-07T04:32:26.128+0000] {task_command.py:426} INFO - Running <TaskInstance: META_streaming.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 8b57410c2c11
[2024-08-07T04:32:26.274+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='META_streaming' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-07T04:32:26.276+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-07T04:32:28.303+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.305+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.306+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.307+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.307+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.308+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.309+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.309+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.310+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.310+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.310+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.311+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.311+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.312+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.312+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.313+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.313+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.314+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.314+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.315+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.315+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.316+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.317+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.317+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.318+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.318+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.319+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.319+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.320+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.321+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.321+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.322+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.322+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.323+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.323+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.324+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.324+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.325+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.325+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.326+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.326+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
[2024-08-07T04:32:28.327+0000] {logging_mixin.py:188} INFO - Delivered message to META [0]
