[2024-08-07T04:25:45.313+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-07T04:25:45.371+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: NFLX.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:25:45.384+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: NFLX.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:25:45.385+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-07T04:25:45.405+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-07T04:25:45.416+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=943) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-07T04:25:45.418+0000] {standard_task_runner.py:64} INFO - Started process 945 to run task
[2024-08-07T04:25:45.416+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'NFLX', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '95', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmptbc741tl']
[2024-08-07T04:25:45.419+0000] {standard_task_runner.py:91} INFO - Job 95: Subtask send_data
[2024-08-07T04:25:45.442+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-07T04:25:45.492+0000] {task_command.py:426} INFO - Running <TaskInstance: NFLX.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 8b57410c2c11
[2024-08-07T04:25:45.636+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='NFLX' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-07T04:25:45.638+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-07T04:25:47.664+0000] {logging_mixin.py:188} INFO - Delivered message to NFLX [0]
