[2024-08-07T04:21:06.676+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-07T04:21:06.726+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: NVDA.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:21:06.739+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: NVDA.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:21:06.740+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-07T04:21:06.767+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-07T04:21:06.778+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=781) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-07T04:21:06.780+0000] {standard_task_runner.py:64} INFO - Started process 783 to run task
[2024-08-07T04:21:06.778+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'NVDA', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '89', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmp0glo7eay']
[2024-08-07T04:21:06.781+0000] {standard_task_runner.py:91} INFO - Job 89: Subtask send_data
[2024-08-07T04:21:06.805+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-07T04:21:06.856+0000] {task_command.py:426} INFO - Running <TaskInstance: NVDA.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 8b57410c2c11
[2024-08-07T04:21:06.989+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='NVDA' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-07T04:21:06.991+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-07T04:21:09.022+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.023+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.024+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.025+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.026+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.026+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.027+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.027+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.028+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.028+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.029+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.029+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.030+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.030+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.031+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.032+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.033+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.034+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.034+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.035+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.035+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.036+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.037+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.037+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.038+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.038+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.039+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.039+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.040+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.041+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.041+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.042+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.043+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.043+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.044+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.044+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.045+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.046+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.046+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.047+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.047+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.048+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.048+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
[2024-08-07T04:21:09.049+0000] {logging_mixin.py:188} INFO - Delivered message to NVDA [0]
