[2024-08-07T04:34:51.384+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-07T04:34:51.432+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: QCOM_streaming_data.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:34:51.445+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: QCOM_streaming_data.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:34:51.446+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-07T04:34:51.473+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-07T04:34:51.485+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1255) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-07T04:34:51.485+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'QCOM_streaming_data', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '107', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmpiqrm_0ap']
[2024-08-07T04:34:51.487+0000] {standard_task_runner.py:64} INFO - Started process 1257 to run task
[2024-08-07T04:34:51.487+0000] {standard_task_runner.py:91} INFO - Job 107: Subtask send_data
[2024-08-07T04:34:51.508+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-07T04:34:51.557+0000] {task_command.py:426} INFO - Running <TaskInstance: QCOM_streaming_data.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 8b57410c2c11
[2024-08-07T04:34:51.682+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='QCOM_streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-07T04:34:51.684+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-07T04:34:53.711+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.712+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.713+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.714+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.714+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.715+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.715+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.716+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.716+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.717+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.718+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.718+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.719+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.719+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.720+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.720+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.720+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.721+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.721+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.722+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.722+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.723+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.723+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.724+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.724+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.725+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.725+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.726+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.726+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.727+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.727+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.728+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.728+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.728+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.729+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.729+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.730+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.730+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.731+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.731+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.732+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.732+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
[2024-08-07T04:34:53.732+0000] {logging_mixin.py:188} INFO - Delivered message to QCOM [0]
