[2024-08-07T04:38:23.626+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-07T04:38:23.676+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: TPE_streaming.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:38:23.688+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: TPE_streaming.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-07T04:38:23.690+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-07T04:38:23.715+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-07T04:38:23.726+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1361) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-07T04:38:23.728+0000] {standard_task_runner.py:64} INFO - Started process 1363 to run task
[2024-08-07T04:38:23.726+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'TPE_streaming', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '110', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmp0hi5a0xu']
[2024-08-07T04:38:23.729+0000] {standard_task_runner.py:91} INFO - Job 110: Subtask send_data
[2024-08-07T04:38:23.749+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-07T04:38:23.801+0000] {task_command.py:426} INFO - Running <TaskInstance: TPE_streaming.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 8b57410c2c11
[2024-08-07T04:38:23.949+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='TPE_streaming' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-07T04:38:23.952+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-07T04:38:25.980+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-07T04:38:25.981+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-07T04:38:25.981+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-07T04:38:25.982+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-07T04:38:25.982+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-07T04:38:25.983+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-07T04:38:25.984+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-07T04:38:25.984+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-07T04:38:25.984+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-07T04:38:25.985+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
