[2024-07-30T14:44:18.215+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-30T14:44:18.270+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: send_stock_data.send_data scheduled__2024-07-30T14:43:00+00:00 [queued]>
[2024-07-30T14:44:18.286+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: send_stock_data.send_data scheduled__2024-07-30T14:43:00+00:00 [queued]>
[2024-07-30T14:44:18.287+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-07-30T14:44:18.312+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-30 14:43:00+00:00
[2024-07-30T14:44:18.325+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=492) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-07-30T14:44:18.324+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'send_stock_data', 'send_data', 'scheduled__2024-07-30T14:43:00+00:00', '--job-id', '52', '--raw', '--subdir', 'DAGS_FOLDER/***_stream.py', '--cfg-path', '/tmp/tmpvsz53b2q']
[2024-07-30T14:44:18.327+0000] {standard_task_runner.py:91} INFO - Job 52: Subtask send_data
[2024-07-30T14:44:18.327+0000] {standard_task_runner.py:64} INFO - Started process 494 to run task
[2024-07-30T14:44:18.353+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-07-30T14:44:18.407+0000] {task_command.py:426} INFO - Running <TaskInstance: send_stock_data.send_data scheduled__2024-07-30T14:43:00+00:00 [running]> on host da3e94a6f80e
[2024-07-30T14:44:18.552+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='send_stock_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-30T14:43:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-30T14:43:00+00:00'
[2024-07-30T14:44:18.554+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-30T14:44:20.579+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.580+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.580+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.581+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.581+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.581+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.582+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.582+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.583+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.583+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.583+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.584+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.584+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.585+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.585+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.586+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.586+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.586+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.587+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.587+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.588+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.588+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-07-30T14:44:20.588+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
